account_age_days,reservation_count,cancellation_ratio,expired_ratio,avg_overstay_minutes,total_overstays,avg_hours_between_reservations,booking_hour,booking_weekday,is_anomaly
859,15,0.07581521560083428,0.001927111160567882,5.7327692834208905,1,52.966279773578,12,2,0
765,3,0.06709202207328213,0.26223199111447487,12.44715426570749,0,35.70102524258673,17,2,0
476,7,0.2671168568966886,0.11122474561239505,5.282089568645611,1,66.98744333210884,14,6,0
904,17,0.11796759670718232,0.07918169514874034,9.064837217911634,1,47.81141226868768,10,6,0
408,18,0.17122162624052087,0.048993734988423694,66.06767244258515,5,37.09478710637603,18,5,1
1068,18,0.30502517389347655,0.1029689368601377,2.161968047305343,0,54.01433217577082,18,1,0
1023,9,0.03229588151467389,0.02136911650291636,7.484938853903499,0,116.62828657664053,18,2,0
1641,18,0.09788776668636737,0.30895503418396825,2.690212695163221,2,78.05264005265981,11,6,0
1683,16,0.15233763630220692,0.07796633256520225,13.768891154257473,0,70.32012072894311,18,3,0
84,16,0.3602241191338002,0.09388717292991047,85.5607970710009,10,17.907136030900812,15,2,1
552,3,0.08014076632007164,0.4111738744900916,3.4075336648902383,2,119.01234868547171,11,6,0
674,2,0.31771491806561286,0.012426852396609704,9.907025959067838,0,53.64717421447465,16,3,0
1393,4,0.1920109768001197,0.1746559338827508,4.678293084150203,2,107.89992532021247,11,2,0
1095,4,0.3948176020805704,0.21766111412668898,2.594498640352246,2,34.66592667616392,7,0,0
241,11,0.1392534746412343,0.7430531106734463,3.3137323891108537,0,7.093208013574072,8,0,1
37,13,0.17573499741634466,0.2534191661930103,13.817871836322965,2,123.50390350693836,9,2,0
959,17,0.10056663708800616,0.13473260804688558,3.5505738980862303,0,115.19604544807216,19,6,0
794,16,0.08091626994088223,0.0903439189252141,5.320977524095765,0,58.06864689226151,17,5,0
175,10,0.6154140410062193,0.6421436764038634,4.666909835279326,0,24.325378337484047,3,6,1
327,19,0.3349317314119214,0.02785684627417604,157.5057326139317,7,73.12764167717434,12,3,1
150,12,0.08983020017163015,0.02760659630504035,7.197821143106502,1,142.6782023877254,20,5,0
868,19,0.06583828189218373,0.0116521004509347,2.5723527145535967,0,79.10384083673443,7,1,0
696,18,0.14744449586744465,0.135047631002945,4.0778447056079,2,159.503848934001,16,2,0
1211,2,0.11246556245281131,0.17302418525173763,6.607965275501451,0,93.13385071903616,15,5,0
175,4,0.02108672334877413,0.41313258229086897,3.7357889995719056,2,19.203240259037905,13,3,0
